Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2016-12-29;03:32:28;41.92;22.93;0; ;ML;1.8;BULGARIA;2016-12-29 09:56;555999;
2016-12-15;04:04:39;41.63;23.52;10;f;ML;3.1;BULGARIA;2016-12-15 07:54;552695;
2016-12-12;22:30:42;41.83;23.14;1; ;ML;2.1;BULGARIA;2016-12-22 12:52;554465;
2016-12-12;13:15:35;41.98;26.80;5; ;ML;2.3;BULGARIA-GREECE-TURKEY BORDER RG;2016-12-12 14:20;552157;
2016-12-12;12:54:37;41.52;25.94;6; ;ML;2.1;BULGARIA;2016-12-12 14:35;552162;
2016-12-12;03:37:18;41.70;23.89;2; ;ML;2.0;BULGARIA;2016-12-12 03:46;552032;
2016-12-08;15:14:09;41.94;26.86;9; ;ML;2.0;BULGARIA-GREECE-TURKEY BORDER RG;2016-12-08 16:54;551206;
2016-12-05;15:01:31;41.97;26.83;6; ;ML;2.4;BULGARIA-GREECE-TURKEY BORDER RG;2016-12-05 16:04;550497;
2016-12-02;14:49:45;42.25;23.44;10; ;ML;3.3;BULGARIA;2016-12-02 15:53;549803;
2016-11-26;08:59:30;42.14;24.99;15; ;ML;2.8;BULGARIA;2016-11-27 18:55;548352;
2016-11-04;11:00:57;42.01;27.37;7; ;ML;2.0;BULGARIA;2016-11-04 11:43;542874;
2016-11-02;15:11:07;41.85;26.84;7; ;ML;2.2;BULGARIA-GREECE-TURKEY BORDER RG;2016-11-03 06:52;542573;
2016-10-27;13:51:31;41.90;26.85;5; ;ML;2.2;BULGARIA-GREECE-TURKEY BORDER RG;2016-10-27 14:00;540023;
2016-10-21;07:24:03;42.43;24.36;10;f;ML;2.8;BULGARIA;2016-10-21 13:22;538447;
2016-10-17;00:49:19;41.69;26.57;7; ;ML;2.8;BULGARIA-GREECE-TURKEY BORDER RG;2016-10-17 10:30;537414;
2016-10-05;17:27:09;41.39;25.90;8; ;ML;2.3;BULGARIA;2016-10-05 17:50;535310;
2016-10-05;10:06:57;41.89;26.86;7; ;ML;2.0;BULGARIA-GREECE-TURKEY BORDER RG;2016-10-05 10:45;535245;
2016-09-27;14:44:11;41.87;26.89;7; ;ML;2.3;BULGARIA-GREECE-TURKEY BORDER RG;2016-09-27 14:56;533631;
2016-09-22;15:26:21;41.94;26.82;7; ;ML;2.1;BULGARIA-GREECE-TURKEY BORDER RG;2016-09-22 15:37;532463;
2016-09-18;09:19:48;41.95;23.15;10; ;ML;2.0;BULGARIA;2016-09-19 05:41;531586;
2016-09-14;02:42:35;42.44;23.59;8; ;ML;2.4;BULGARIA;2016-09-14 08:25;530617;
2016-09-13;04:32:02;42.96;25.48;2; ;ML;2.5;BULGARIA;2016-09-13 05:40;530364;
2016-09-12;13:49:39;41.66;23.70;10;f;ML;2.3;BULGARIA;2016-09-12 14:30;530191;
2016-08-31;12:53:40;41.94;26.85;6; ;ML;2.1;BULGARIA-GREECE-TURKEY BORDER RG;2016-08-31 12:59;527591;
2016-08-30;09:26:08;42.28;27.91;5; ;ML;2.6;BULGARIA;2016-08-30 09:37;527363;
2016-08-27;15:18:55;41.51;24.93;2;f;ML;2.4;BULGARIA;2016-08-27 20:40;526781;
2016-08-19;09:10:36;41.94;23.14;2;f;ML;2.7;BULGARIA;2016-08-19 18:18;524676;
2016-08-16;11:40:51;42.01;27.36;6; ;ML;2.3;BULGARIA;2016-08-16 12:07;524154;
2016-08-09;15:37:18;41.89;26.93;6; ;ML;2.0;BULGARIA-GREECE-TURKEY BORDER RG;2016-08-09 16:44;522852;
2016-08-04;08:21:42;42.05;25.69;8; ;ML;2.3;BULGARIA;2016-09-26 10:24;521924;
2016-08-03;09:50:51;41.95;26.91;7; ;ML;2.1;BULGARIA-GREECE-TURKEY BORDER RG;2016-08-03 10:00;521752;
2016-08-03;03:28:39;41.81;23.44;2;f;ML;2.4;BULGARIA;2016-08-03 06:39;521701;
2016-07-27;05:10:06;42.03;23.74;3; ;ML;2.6;BULGARIA;2016-07-27 06:50;520488;
2016-07-16;19:16:56;41.54;23.26;2;f;ML;2.4;BULGARIA;2016-07-17 07:15;518595;
2016-07-15;09:14:39;42.19;27.61;5; ;ML;2.3;BULGARIA;2016-07-15 09:27;518375;
2016-06-29;13:45:22;42.22;27.87;6; ;ML;2.6;BULGARIA;2016-06-29 14:11;515366;
2016-06-24;18:48:42;41.93;23.04;3; ;ML;2.9;BULGARIA;2016-06-25 08:21;514211;
2016-06-19;05:54:20;41.37;23.20;1; ;ML;2.8;BULGARIA;2016-06-20 06:52;513207;
2016-06-18;17:24:17;41.97;26.81;7; ;ML;2.2;BULGARIA-GREECE-TURKEY BORDER RG;2016-06-18 17:36;513111;
2016-06-17;17:55:58;42.51;26.08;2;f;ML;2.5;BULGARIA;2016-06-18 16:30;512948;
2016-06-14;16:34:12;43.05;27.50;2; ;ML;3.0;BULGARIA;2016-06-15 06:39;512344;
2016-05-23;07:03:50;41.66;23.27;15;f;ML;2.8;BULGARIA;2016-05-24 14:00;508104;
2016-05-23;06:22:04;41.59;23.19;2; ;ML;2.7;BULGARIA;2016-05-23 06:48;508096;
2016-05-22;14:14:51;41.56;23.32;8; ;ML;2.0;BULGARIA;2016-05-28 12:14;507998;
2016-05-22;09:10:10;41.62;23.27;0; ;ML;3.1;BULGARIA;2016-05-22 20:45;507965;
2016-05-22;08:58:31;41.62;23.29;1;f;ML;4.5;BULGARIA;2016-05-23 07:04;507960;
2016-05-20;08:15:59;42.11;27.40;11; ;ML;2.0;BULGARIA;2016-05-20 08:23;507512;
2016-05-12;13:54:45;41.80;24.80;1; ;ML;2.1;BULGARIA;2016-05-13 08:42;506282;
2016-05-09;17:20:04;42.14;25.09;2; ;ML;2.5;BULGARIA;2016-05-10 07:02;505549;
2016-05-09;12:52:03;41.74;23.78;10; ;ML;2.4;BULGARIA;2016-05-10 06:57;505502;
2016-05-06;10:28:15;41.91;26.81;7; ;ML;2.1;BULGARIA-GREECE-TURKEY BORDER RG;2016-05-06 10:33;504878;
2016-05-02;20:16:25;42.53;26.03;2; ;ML;2.7;BULGARIA;2016-05-03 06:46;504174;
2016-04-21;13:47:34;41.89;26.90;9; ;ML;2.0;BULGARIA-GREECE-TURKEY BORDER RG;2016-04-21 14:11;502080;
2016-04-18;10:38:44;42.45;26.10;1; ;ML;2.9;BULGARIA;2016-04-18 13:11;501495;
2016-04-18;07:39:37;42.35;26.13;2;f;ML;2.4;BULGARIA;2016-04-18 11:30;501456;
2016-04-18;06:46:14;42.49;26.04;2;f;ML;4.3;BULGARIA;2016-04-18 11:25;501428;
2016-04-13;18:04:09;41.80;23.23;1; ;ML;2.0;BULGARIA;2016-04-17 13:48;500835;
2016-04-12;14:01:08;41.93;26.81;5; ;ML;2.0;BULGARIA-GREECE-TURKEY BORDER RG;2016-04-12 14:10;500222;
2016-04-08;13:21:13;41.61;24.37;8;f;ML;2.6;BULGARIA;2016-04-08 14:26;499331;
2016-04-01;19:51:11;42.50;25.78;5; ;ML;3.3;BULGARIA;2016-04-03 01:20;497972;
2016-04-01;19:46:08;42.58;25.73;14; ;ML;2.7;BULGARIA;2016-04-03 01:19;497975;
2016-04-01;19:29:53;42.58;25.73;14; ;ML;2.7;BULGARIA;2016-04-03 01:18;497977;
2016-03-31;09:29:21;41.79;23.53;3; ;ML;2.0;BULGARIA;2016-04-04 16:22;498472;
2016-03-27;17:06:06;42.14;23.57;2; ;ML;2.9;BULGARIA;2016-03-28 11:33;496841;
2016-03-27;05:04:05;41.81;26.63;10; ;ML;3.0;BULGARIA-GREECE-TURKEY BORDER RG;2016-03-27 16:46;496742;
